id,title,category,original_length,reference_summary,reference_length,latency,success,error
doc_19_15_syn_short_9565,MDHC celebra publicação de decreto que reforça combate global ao trabalho escravo,Trabalho e Emprego,1273,"O Ministério dos Direitos Humanos e da Cidadania (MDHC) celebra a promulgação do Protocolo de 2014 à Convenção nº 29 da Organização Internacional do Trabalho (OIT) sobre Trabalho Forçado ou Obrigatório. O decreto, publicado nessa quarta-feira (25), é um instrumento internacional que reforça o compromisso do Brasil com a erradicação do trabalho escravo contemporâneo, ampliando as obrigações dos Estados na prevenção, repressão e reparação de violações relacionadas ao trabalho forçado. A medida consolida uma trajetória histórica de atuação do Estado brasileiro no enfrentamento ao problema.",593,1.9547884464263916,True,
doc_19_16,MIDR aprova primeiro plano de trabalho para assistência humanitária em Paraty,Desenvolvimento Social,5325,"O Governo Federal aprovou o primeiro plano de trabalho para assistência humanitária em Paraty (RJ), um dos municípios mais afetados pelas fortes chuvas no estado. A Defesa Civil Nacional reconheceu o estado de calamidade pública no município e autorizou o repasse de R$ 539.042,00 para ações de resposta ao desastre. Além disso, quatro técnicos da Secretaria Nacional de Proteção e Defesa Civil estão em Paraty prestando apoio técnico. O sistema federal de proteção e defesa civil está atuante, com a participação de diversos órgãos, e o Defesa Civil Alerta, implementado em todo o país, poderá ser usado pelos estados para ampliar a proteção das pessoas em situações de emergência.",682,3.1434690952301025,True,
doc_19_45,Receita participa de conferência sobre lavagem de dinheiro e criptoativos na Cidade do México,Economia e Finanças,3478,"A Secretaria Especial da Receita Federal do Brasil participou da Conferência Regional da Grupo de Ação Financeira da América Latina (Gafilat) sobre Ativos Virtuais e Combate à Lavagem de Dinheiro, realizada na Cidade do México. A Receita Federal foi a única administração tributária presente no evento, que reuniu representantes de 18 países da América Latina e Caribe. Durante o evento, o auditor-fiscal Pedro Augusto Frantz apresentou casos reais de identificação de beneficiários finais em criptoativos, incluindo o rastreamento de esquemas Ponzi, exchanges não registradas e redes societárias ocultas. A participação da Receita Federal reforçou seu posicionamento como referência global em inteligência artificial aplicada à administração tributária.",754,4.016322612762451,True,
doc_15_20_syn_extract_middle_5033,Mais Inovação Brasil abre novo edital para impulsionar energia limpa e tecnologias no País,"Ciência, Tecnologia e Inovação",373,"O edital do governo brasileiro incentiva avanços na produção de biocombustíveis, com foco no desenvolvimento de insumos renováveis, novas variedades de plantas energéticas, microrganismos e enzimas que aumentem a produção sustentável de combustíveis. Além disso, o edital também estimula a pesquisa e o desenvolvimento de processos e componentes para combustíveis sustentáveis, como diesel verde e combustível sustentável de aviação (SAF).",439,1.5504212379455566,True,
doc_13_13,Governos do Brasil e de Minas Gerais dão partida ao projeto de concessão de saneamento na Bacia do Rio Doce,Meio Ambiente e Sustentabilidade,4358,"O Governo do Brasil e o Estado de Minas Gerais iniciaram a estruturação de um projeto de concessão dos serviços de abastecimento de água e esgotamento sanitário para 200 municípios da Bacia Hidrográfica do Rio Doce. O projeto, previsto no Novo Acordo do Rio Doce, mobilizará R$ 7,5 bilhões para universalizar esses serviços até 2033. Os estudos técnicos serão coordenados pelo IFC e por empresas especializadas, com previsão de conclusão até o final de 2023. O projeto busca harmonizar-se com a privatização da Companhia de Saneamento de Minas Gerais (Copasa), oferecendo aos municípios duas alternativas para viabilizar a universalização dos serviços de saneamento.",666,3.6821272373199463,True,
doc_09_01_syn_short_9779,Ano de 2025 encerra com número recorde de regulados pela CVM,Economia e Finanças,1091,"O número de participantes regulados pela Comissão de Valores Mobiliários (CVM) atingiu um recorde histórico em 2025, com um aumento de 3,4% em relação ao final de 2024, totalizando 92.818 participantes. O destaque foi o crescimento de 27,3% no setor de consultores de valores mobiliários, que chegou a 2.635 participantes registrados. Esse cenário reflete a expansão estrutural do mercado de capitais brasileiro, com maior diversidade de instrumentos financeiros, volume e ampliação dos mercados regulados, especialmente no mercado de dívida.",542,1.817279577255249,True,
doc_07_12_syn_extract_middle_7735,MinC convoca candidaturas suplentes do Edital Sérgio Mamberti para assumir vagas remanescentes,Economia e Finanças,809,"O Ministério da Cultura (MinC) recomenda que todos os candidatos a recursos públicos verifiquem antecipadamente sua regularidade jurídica, fiscal e tributária. Estar em débito com a União impede o recebimento de verbas públicas. É essencial que os candidatos resolvam eventuais pendências em sistemas como o Cadin, CND, FGTS, Constransf, Salic, Cepim, Ceis e Sicaf, antes de solicitar os recursos.",397,2.2796621322631836,True,
doc_03_25_syn_extract_middle_2124,Políticas do MDA impulsionam produtividade e valorizam as mulheres do campo,"Agricultura, Pecuária e Abastecimento",349,"O Programa visa garantir o acesso à documentação civil básica e à titulação conjunta da terra e do território para mulheres rurais, do campo, das florestas e das águas. O objetivo é assegurar o reconhecimento dos direitos civis, políticos e sociais dessas mulheres, permitindo que elas vivam com mais dignidade, segurança e autonomia.",334,1.6731324195861816,True,
doc_17_14_syn_extract_middle_5272,Alckmin e Padilha aplicam primeiras doses da vacina contra a dengue fabricada no Brasil,Saúde,267,"O Instituto Butantan, fundado para proteger a população, está se projetando para o futuro com os investimentos do governo do presidente Lula. O instituto se destaca como um dos pilares da produção nacional de vacinas e da segurança sanitária do país. Essa declaração foi feita pelo vice-presidente, ressaltando a importância do Butantan para a saúde pública brasileira.",369,3.0749642848968506,True,
doc_19_05_syn_extract_middle_6325,Regiões Nordeste e Sul são monitoradas pelo MIDR após previsão de chuvas intensas,Meio Ambiente e Sustentabilidade,421,"O Governo Federal lançou uma ferramenta que envia alertas de emergência à população sobre riscos iminentes. Os alertas contêm informações sobre o tipo de risco e instruções práticas de proteção. O conteúdo e o momento de envio dos alertas são definidos pelos órgãos de proteção e defesa civil locais, que utilizam a Interface de Divulgação de Alertas Públicos (Idap) para operacionalizar o sistema. Essa iniciativa visa orientar e preparar a população para situações de emergência, contribuindo para a redução de danos e a preservação da segurança pública.",556,2.372974395751953,True,
doc_17_08_syn_short_8119,Novo Acordo do Rio Doce promove avanços na reparação aos atingidos,Meio Ambiente e Sustentabilidade,1769,"O Novo Acordo do Rio Doce, firmado em 2025, destinou mais de R$ 1,6 bilhão para ações de reparação nas áreas afetadas pelo rompimento da barragem de Fundão em 2015. Esse montante, de um total de R$ 132 bilhões a serem executados em 20 anos, vem promovendo melhorias na vida da população impactada, com foco na recuperação ambiental, fortalecimento de políticas públicas e valorização do protagonismo das comunidades atingidas. Uma das principais ações implementadas é o Programa de Transferência de Renda (PTR) destinado a agricultores familiares e pescadores artesanais que tiveram suas atividades prejudicadas.",612,2.366532802581787,True,
doc_17_36,Gestores de saúde de Angola visitam Faculdade de Medicina da USP em agenda de cooperação com o Brasil,Saúde,5487,"Uma delegação de 11 gestores de saúde de diferentes regiões de Angola visitou a Faculdade de Medicina da Universidade de São Paulo (FMUSP) como parte das atividades preparatórias para o início do ciclo 2026 do Programa de Formação de Recursos Humanos em Saúde Brasil-Angola. Durante a visita, os gestores conheceram a infraestrutura acadêmica da FMUSP, uma das mais renomadas instituições de ensino médico da América Latina, incluindo o Centro de Desenvolvimento de Educação Médica (CEDEM) e a biblioteca. A agenda reforçou o intercâmbio de conhecimentos entre Brasil e Angola no âmbito do programa, que visa fortalecer o sistema público de saúde angolano por meio da formação de profissionais em instituições brasileiras de referência.",736,2.71928334236145,True,
doc_03_00_syn_extract_middle_5616,Programa Abdias Nascimento: CAPES publica edital de renovação de projetos para 2026,Educação,478,"O programa é uma parceria entre a Secretaria de Educação Continuada, Alfabetização, Diversidade e Inclusão (SECAI/MEC) e a CAPES. Seu objetivo é ampliar o acesso e a permanência de estudantes pretos, pardos, indígenas, quilombolas, populações do campo e pessoas com deficiência ou altas habilidades. A iniciativa promove a excelência acadêmica por meio do financiamento de pesquisas em universidades e institutos de tecnologia, tanto no Brasil quanto internacionalmente.",470,1.514918327331543,True,
doc_07_02_syn_short_4566,"Rumo à 6ª Teia Nacional, Mato Grosso do Sul realiza encontro estadual da rede dos pontos de cultura","Cultura, Artes e Patrimônio",1771,"O governo do Mato Grosso do Sul realizou um encontro estadual da Rede dos Pontos de Cultura, nos dias 30 e 31 de janeiro, no Pontão Moinho Cultural em Corumbá. O evento faz parte da preparação para a 6ª Teia Nacional Pontos de Cultura pela Justiça Climática, que será realizada pelo Ministério da Cultura em março, em Aracruz (ES). Durante o encontro, representantes do poder público e fazedores de cultura debateram formas de fortalecer a Política Nacional de Cultura Viva (PNCV) e as contribuições do setor cultural para uma sociedade justa e sustentável. O diretor da PNCV, João Pontes, destacou a importância da diversidade cultural como riqueza e força do país.",666,2.763472080230713,True,
doc_19_38,ABIN contribui para a Operação Shadowgun,Segurança Pública,1958,"A Operação Shadowgun, com apoio da ABIN, identificou brasileiros envolvidos no desenvolvimento, financiamento e promoção da arma híbrida Urutau, produzida por impressoras 3D. A ABIN analisou os avanços técnicos, a ideologia subjacente, o interesse de extremistas e criminosos por armas 3D, além de alertar sobre o projeto da Urutau e seus desafios. A atuação integrada de análise, coleta e cruzamento de informações permitiu compreender melhor o fenômeno e identificar os indivíduos envolvidos, subsidiando medidas preventivas, de obstrução e neutralização de ameaças.",568,2.640230417251587,True,
doc_13_21,Companhias aéreas suspendem voos para Oriente Médio,Transporte e Infraestrutura,3162,"As companhias aéreas globais suspenderam voos no Oriente Médio após ataques dos EUA e Israel contra o Irã, mergulhando a região em um novo confronto militar. Quase 40% dos voos para Israel e 6,7% dos voos para a região foram cancelados. Várias companhias, como British Airways, Lufthansa e Air France, suspenderam temporariamente suas rotas na área devido à escalada das tensões e preocupações com a segurança do espaço aéreo. Espera-se que o espaço aéreo na região permaneça fechado por algum tempo.",500,2.081420421600342,True,
doc_11_23_syn_short_3591,Presidente do FNDE debate educação inclusiva na Câmara dos Deputados,Educação,1739,"A Comissão de Defesa dos Direitos das Pessoas com Deficiência da Câmara dos Deputados realizou uma audiência pública para discutir políticas de educação inclusiva voltadas a estudantes com deficiência visual. Durante a audiência, a presidente do FNDE, autarquia vinculada ao MEC, apresentou dados sobre a execução do Programa Nacional do Livro e do Material Didático (PNLD), destacando que para o ano letivo de 2026 foram adquiridos mais de 213 milhões de livros, com investimentos superiores a R$ 2,7 bilhões, sendo que 32.373 exemplares em Braille serão distribuídos a um custo de R$ 27 milhões.",597,2.089632987976074,True,
doc_03_41_syn_short_7065,Encontro Nacional das Periferias reúne representantes de favelas de todo o país,Desenvolvimento Social,1553,"O 1º Encontro Nacional de Periferias, realizado pela Secretaria Nacional de Periferias do Ministério das Cidades, reunirá cerca de 1.000 representantes de 350 favelas e comunidades urbanas de todo o Brasil em São Paulo. O evento contará com a entrega do Prêmio Periferia Viva 2025, que reconhece e fortalece iniciativas periféricas transformadoras, com 178 vencedores em três categorias: iniciativas populares, assessorias técnicas e entes públicos. As regiões Sudeste e Nordeste tiveram a maioria das inscrições e premiados. Além da premiação, o encontro inclui o lançamento do Raio-X das Iniciativas Periféricas, exposições e oficinas de serviços para as comunidades.",669,2.414700746536255,True,
doc_03_29_syn_short_4593,Mulheres rurais: transformando lutas em conquistas,"Agricultura, Pecuária e Abastecimento",1644,"O evento ""Mulheres rurais: transformando lutas em conquistas"", promovido pelo Ministério do Desenvolvimento Agrário e Agricultura Familiar (MDA), celebrou as conquistas e o papel fundamental das mulheres na agricultura familiar brasileira. O encontro reuniu cerca de 100 pessoas, incluindo agricultoras, lideranças comunitárias e representantes do governo, para discutir políticas públicas e compartilhar experiências. Destaque para o Programa Quintais Produtivos para Mulheres Rurais, que desde 2023 já apoiou a estruturação de mais de 100 mil quintais em todo o país, com investimentos que ultrapassam R$ 992 milhões.",619,2.2940118312835693,True,
doc_15_07_syn_extract_middle_7046,ICMBio e órgãos estaduais de meio ambiente realizam a 1ª Oficina de Integração com Foco na Conservação de Insetos Polinizadores,Meio Ambiente e Sustentabilidade,557,"O evento reuniu representantes de 18 entidades de 12 estados brasileiros para discutir formas de implementar sete ações prioritárias do Plano de Ação Nacional para a Conservação das Espécies Ameaçadas de Extinção (PAN) que estavam com baixa execução. Os principais resultados incluíram a identificação de estratégias para alcançar os objetivos do PAN, a definição de planos operacionais estaduais e a criação de uma rede de colaboração entre as organizações ambientais participantes.",483,2.026477813720703,True,
doc_11_13_syn_short_1964,Olimpíadas Nucleares da América Latina abrem inscrições para a edição 2026,"Ciência, Tecnologia e Inovação",1445,"As Olímpiadas Nucleares da América Latina - Hackapower LATAM 2026 são uma competição acadêmica internacional que visa estimular a inovação, o desenvolvimento de habilidades de gestão em projetos complexos e o fortalecimento de redes de colaboração no setor nuclear. O tema central da edição de 2026 será o radioteranóstico, uma abordagem da medicina nuclear que integra diagnóstico e terapia por meio de radiofármacos. A competição é voltada para estudantes de pós-graduação e contará com a participação de uma doutoranda do CDTN/CNEN no comitê organizador. A iniciativa busca promover e divulgar a ciência e a tecnologia em alinhamento com os Objetivos de Desenvolvimento Sustentável da ONU.",692,2.210954189300537,True,
doc_07_24_syn_extract_middle_4733,Mulheres que transformam,Desenvolvimento Social,754,"O resumo da notícia é o seguinte:

A autora, uma mulher negra e professora, relata sua experiência de realizar um intercâmbio em Moçambique para sua primeira pesquisa de pós-doutorado em 2014. Essa vivência ampliou sua compreensão sobre as diferentes formas de ser e estar no mundo, fortalecendo-a para questionar permanentemente as visões preconceituosas e estereotipadas em relação aos africanos e aos afrodescendentes na diáspora africana. Ela também destaca a importância dessa experiência para interrogar os currículos escolares fortemente eurocentrados.",559,1.8546082973480225,True,
doc_07_11,"Integrando o marco de seus 50 anos, Funarte celebra memória e debate futuro das artes em ato público nas cidades de Manaus e Brasília","Cultura, Artes e Patrimônio",13730,"A Fundação Nacional de Artes (Funarte) celebra seu cinquentenário com ações em dois teatros-monumentos brasileiros: o Teatro Amazonas (AM) e o Teatro Nacional (DF). Em Manaus, no dia 28 de fevereiro, haverá uma roda de conversa sobre a memória e os acervos de grupos de teatro de ação continuada, além do lançamento de um livro e a apresentação do espetáculo ""Sebastião"". Já em Brasília, no dia 4 de março, será realizada uma ""Roda Dança"" no Centro de Dança do DF e a apresentação do espetáculo ""A Escultura"", com a mestra da dança Yara de Cunto. As atividades fazem parte da celebração dos 50 anos da Funarte e reafirmam a importância da instituição para o fomento e a proteção das artes brasileiras.",701,3.119173526763916,True,
doc_09_05,CVM e ANBIMA divulgam resultados do Acordo de Cooperação Técnica entre as instituições no 2° semestre de 2025,Economia e Finanças,1815,"A ANBIMA (Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais) firmou termos de compromisso com seis instituições entre julho e dezembro de 2025, no âmbito do Acordo de Cooperação Técnica com a CVM (Comissão de Valores Mobiliários) para supervisão da indústria de fundos. Os termos de compromisso estão relacionados a pontos do Código de Administração e Gestão de Recursos de Terceiros e do Código de Distribuição de Produtos de Investimento. Além disso, a ANBIMA compartilhou com a CVM uma carta de recomendação enviada a uma instituição, envolvendo aprimoramento da metodologia de supervisão baseada em risco aplicada ao relacionamento com assessores de investimento.",691,3.480631113052368,True,
doc_15_04,"Em Rondônia, povo Paiter Suruí debate projeto de carbono como instrumento de PGTA e autonomia indígena",Meio Ambiente e Sustentabilidade,8972,"O povo Paiter Suruí, da Terra Indígena Sete de Setembro em Rondônia, apresentou e debateu o Projeto de Carbono como instrumento do seu Plano de Gestão Territorial e Ambiental (PGTA). O projeto, liderado pelos próprios indígenas, visa fortalecer a autonomia e a economia sustentável da comunidade, com foco em atividades como café, castanha-do-brasil, cacau e turismo comunitário. O PGTA, elaborado em 2024 com ampla participação da comunidade, é fundamental para a implementação da Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas (Pngati), que busca proteger, conservar e promover o uso sustentável dos recursos naturais nas terras indígenas. A reunião contou com a participação de representantes da Funai, do Ministério do Meio Ambiente e de outras instituições parceiras, reforçando a importância do projeto de carbono para a autonomia e o desenvolvimento sustentável do povo Paiter Suruí.",915,3.8774263858795166,True,
doc_13_12_syn_extract_middle_3144,Governo do Brasil lança licitação para ampliar abastecimento de água em Irecê (BA),Infraestrutura e Transportes,305,"Durante sua visita à Bahia, o ministro inaugurou a Escola Municipal Professora Carmosina Santos Lopes. Na ocasião, ele destacou o avanço de empreendimentos que estavam paralisados e agora estão sendo entregues ou se encontram em fase de conclusão com recursos do Novo PAC (Programa de Aceleração do Crescimento). O ministro enfatizou a importância desses investimentos para o desenvolvimento da região.",402,1.4300048351287842,True,
doc_05_11_syn_extract_middle_1841,ABIN firma parceria estratégica com Laboratório de Inovação da Enap,"Ciência, Tecnologia e Inovação",162,"O governo federal lançou uma iniciativa para ampliar o entendimento sobre o uso de inteligência artificial (IA) no Brasil. O objetivo é fomentar o desenvolvimento de uma cultura de inovação e uso responsável das tecnologias emergentes. A iniciativa visa promover a discussão sobre os benefícios e desafios da IA, bem como orientar sobre as melhores práticas para sua aplicação ética e segura. Essa ação faz parte dos esforços do governo em preparar o país para os avanços tecnológicos e garantir que a população se beneficie dos avanços da IA de forma responsável.",564,1.9565832614898682,True,
doc_05_09_syn_short_9595,CNEN comunica o falecimento de seu ex-presidente Rex Nazaré Alves e rende homenagens a um dos grandes nomes da energia nuclear no país,"Ciência, Tecnologia e Inovação",1184,"A Comissão Nacional de Energia Nuclear (CNEN) expressa profundo pesar pelo falecimento de Rex Nazaré Alves, um dos mais importantes nomes do desenvolvimento da tecnologia nuclear no Brasil. Físico, gestor público e formulador de políticas estratégicas, Rex Nazaré dedicou sua vida ao avanço científico, tecnológico e institucional do setor nuclear brasileiro, guiado pela convicção de que a tecnologia nuclear é essencial para a soberania nacional. A CNEN presta homenagem a Rex Nazaré Alves, reconhecendo-o como um exemplo de servidor público, cientista e cidadão cuja obra permanecerá como referência para o Brasil.",617,1.9726524353027344,True,
doc_17_07_syn_extract_first_1009,SST Fácil aproxima a ISO 45001 do dia a dia do trabalho,Trabalho e Emprego,375,"O Ministério do Trabalho e Emprego lançou um novo conteúdo no aplicativo ""SST Fácil"" que transforma a norma internacional de saúde e segurança (ISO 45001) em um aprendizado prático, acessível e gratuito para os trabalhadores. O objetivo é aproximar a norma do dia a dia do trabalho, facilitando o entendimento e a aplicação dos conceitos de saúde e segurança no ambiente laboral. O aplicativo oferece informações sobre a norma, dicas e orientações de forma simples e didática, contribuindo para a melhoria das condições de trabalho no Brasil.",542,1.9212629795074463,True,
doc_07_47_syn_extract_middle_3724,Estados iniciam maratona de eventos preparatórios da 2ª Conferência Nacional de Arquivos,"Cultura, Artes e Patrimônio",360,"O Governo Federal está organizando a 2ª Conferência Nacional de Arquivos (2CNA), um evento aberto a profissionais da área, gestores públicos, pesquisadores, estudantes e demais interessados. As etapas estaduais da conferência estão sendo realizadas em todo o país, com o calendário completo disponível no site oficial [2cnarquivos.org]. A 2CNA é uma oportunidade para debater e definir diretrizes para a política nacional de arquivos, envolvendo diversos setores da sociedade.",476,1.8791553974151611,True,
doc_15_04_syn_extract_middle_4657,"Em Rondônia, povo Paiter Suruí debate projeto de carbono como instrumento de PGTA e autonomia indígena",Meio Ambiente e Sustentabilidade,318,"Durante o evento de três dias, foram apresentados e debatidos diversos tópicos relacionados à gestão territorial da Amazônia, incluindo os estudos e resultados do Plano de Gestão Territorial e Ambiental (PGTA), o protocolo de consulta, o etnozoneamento, a governança, projetos de sustentabilidade e geração de renda. Também foram discutidos modelos de captação de recursos e estratégias de financiamento para essas iniciativas.",427,1.7467296123504639,True,
doc_03_16,Iniciativas de reintegração social de mulheres no Espírito Santo recebem visita da Secretaria-Geral da PR,Desenvolvimento Social,2904,"A Secretaria-Geral da Presidência da República realizou visitas técnicas à Fazenda Santa Casa e ao Viveiro São Francisco, no Espírito Santo, para conhecer iniciativas de reintegração social de mulheres privadas de liberdade. Essas unidades oferecem um modelo de trabalho que permite às participantes receber remuneração, remição de pena e desenvolver autonomia econômica, por meio de atividades como produção agroecológica, manejo de sementes e recuperação ambiental. A partir das informações coletadas, o governo federal avaliará possíveis parcerias para fortalecer essas iniciativas, reafirmando o compromisso em promover a dignidade humana e a reinserção social por meio de trabalho sustentável.",698,3.0924081802368164,True,
doc_05_05_syn_extract_first_5552,Seminário do CENTENA divulga resultados e pesquisas desenvolvidas em 2025,"Ciência, Tecnologia e Inovação",474,"O Seminário do Projeto CENTENA, realizado anualmente no Centro de Desenvolvimento da Tecnologia Nuclear (CDTN), discutiu os desafios e os resultados do projeto para o ano de 2026. O evento contou com a presença de autoridades do Gabinete de Segurança Institucional (GSI), da Comissão Nacional de Energia Nuclear (CNEN) e do CDTN, além de parceiros do projeto. Durante o seminário, foram apresentadas as pesquisas e os desenvolvimentos realizados em 2025 no âmbito do Projeto CENTENA, que visa o aprimoramento de tecnologias nucleares no Brasil.",544,2.0434632301330566,True,
doc_01_08_syn_extract_middle_4788,DNOCS realiza peixamento no Açude Ema em Iracema/CE,"Agricultura, Pecuária e Abastecimento",330,"O DNOCS (Departamento Nacional de Obras Contra as Secas) realizou uma iniciativa com a presença de pescadores, vice-prefeito, vereadores e outras autoridades locais, incluindo o chefe da Estação de Piscicultura de Pau dos Ferros, sr. Lailton Alencar. O evento reforçou o compromisso institucional do DNOCS em fortalecer a piscicultura e promover o desenvolvimento socioeconômico da região.",389,2.714184045791626,True,
doc_11_37_syn_extract_first_9818,Fies 2026: pré-selecionados têm quarta para completar cadastro,Educação,273,"O Fundo de Financiamento Estudantil (Fies) está convocando estudantes pré-selecionados pela lista de espera para complementar suas inscrições até as 23h59 desta quarta-feira (11), no horário de Brasília. Essa convocação é referente às vagas disponíveis para o primeiro semestre de 2026. Os estudantes devem acessar a página do programa para realizar a complementação da inscrição dentro do prazo estabelecido.",409,1.6907780170440674,True,
